Adj 1,Frequency
سازگار,91
زیاری,1
پاره,485
موجود,287
قرنین,1
کاکنون,4
بازش,155
محتاجم,2
غریب,345
ذله,2
پشیمان,310
سپید,624
حزین,191
مردانه,128
بیگانه,604
دیوانه,516
احول,44
آزرده,187
بدت,37
بیدارم,22
دمی,51
خشک,1239
مشهود,22
پرستی,190
منفعلم,3
چنانک,19
امیدوار,125
الهی,483
نعیم,5
عظیم,214
کریم,164
مشکین,574
معطر,109
خبردار,303
گلزار,6
شادان,59
خودی,159
عقبی,92
بدشان,8
پخته,232
سیمین,413
نو,2314
کهن,917
رحمان,18
غبغب,10
قبول,524
دربدر,16
سرگردان,363
افگار,6
خندان,703
سیاه,1602
انبوه,87
اجمال,3
هرزه,344
بکر,88
مشوش,82
ناخوش,238
بیدارش,6
نظری,113
حیران,925
لبریز,74
یله,86
خلاص,294
غیرماست,1
خبرداری,3
طلبی,75
مجوی,186
خوشم,161
معلوم,332
رخی,36
گردون,104
نگردانی,2
پرآب,63
محتاج,92
سیراب,207
سبزهٔ,2
آشنا,765
نوش,835
غمگین,307
فاش,585
فزون,728
عزیزتر,40
غایب,203
عابد,48
کشی,429
صاف,290
آراسته,396
ناخواسته,6
بهتر,942
خوشدل,30
خجل,236
کاهنده,2
افزاینده,3
رونده,33
پاینده,257
حرام,504
آمده_ای,3
نصبی,1
گشتی,148
بدی,413
سوزان,199
مددی,4
فردی,25
گردی,260
منقش,52
رند,26
کردی,424
مقربان,1
خوب,1009
افزا,2
آوردی,7
آلایندی,1
بزدندی,1
سایندی,1
ذوالجلال,9
متواری,33
جاری,105
رحیم,9
نمونه,3
نالان,154
ذلیل,75
بلند,2028
هوسی,6
آزاد,1076
نشینی,85
وسواسی,5
فاسد,51
خاشاکی,3
خاکی,474
مجو,36
گرفتار,310
آشامی,5
بفروختمی,1
دوختمی,1
سوختمی,3
داشتمی,47
روان,2418
بجو,7
جانی,502
آنی,45
فراخ,240
بریانی,5
گریانی,4
گرسنه,276
بری,288
افروختنی,2
سوخته,633
آمدنی,4
آموختنی,2
تراشی,11
خموشی,56
آباد,784
جلی,21
نکنی,3
نرهی,7
سیاهم,2
یمنی,9
ننشینی,4
هان,15
بجهانی,4
بیدار,1425
اندوز,1
رسته,70
منزلگاهی,1
ترسایی,3
خفته,510
خوشی,264
ظریفی,11
درمانده,118
بزرگ,714
محکم,434
سرد,884
غریبی,76
بمرو,1
آیی,103
نترسی,12
تاریک,501
نابینا,87
خواهم_ترا,1
بیهده,79
گزین,32
ملحد,9
مقدم,97
خوار,1552
مهتر,455
همی,23
بزرگی,497
برین,898
ناپسند,55
زشت,820
سختتر,23
نگهی,7
بهتری,44
بمن,11
خوبتر,113
قبلهٔ,3
عام,511
غالبی,2
خراسانی,19
فرستی,38
درستی,38
ماهر,19
مات,116
نی,3
والا,146
بالا,842
ایمن,924
پیوسته,225
معروف,146
شکیبا,50
مدارا,78
خَرزین,1
مُحابا,1
سرافراز,331
پسندیده,56
توانا,135
بنهفته,33
دیبا,114
بیجاده,36
منجنیقت,1
دانا,1012
مزین,81
مهیا,169
عادل,148
ژنده,147
مقهور,45
مُلکَش,1
فرخنده,257
میمون,140
مومن,46
ترسان,82
پرخون,143
ناشکیبا,17
منسوخ,54
دارا,201
مکرّر,1
دلتنگ,93
یکدل,51
یکتا,210
عالی,447
بلندت,36
برنا,178
مفرد,20
معجز,80
آشکارا,17
زیرک,114
شاهی,406
نیکوتر,121
ناچیز,107
موافق,162
دیگرگون,30
سبز,590
نوروزی,70
خداوندی,81
سزا,98
مُوروث,1
خوشبوی,35
مقدمهٔ,1
گشاده,664
ندانمش,1
قَدَر,1
روا,921
گهربار,56
دژم,145
آشفته,481
سروسهی,1
منیع,9
فلکی,49
بخشندهتر,5
صدساله,11
مقیم,291
مَنِه,1
اصلی,80
بیضا,24
سرو,10
ساده,350
زیباش,14
جَوزا,2
سیاهش,58
تازه,1358
کافی,67
مبیّن,2
مُهیّا,2
تنها,297
شایسته,116
بایسته,63
کثیف,42
فروزانی,1
شگفت,376
عجیب,38
تمام,1017
رفتنْت,1
مبتلا,256
مُستقرّ,1
مَحْرور,1
مرطوب,8
شَرزه,1
جادویی,42
گرانبهایی,2
مَطَر,3
زیادت,53
عرش,3
دون,218
بسنده,75
چیره,206
ابری,121
حایر,1
عالیّ,1
معزّالدّین,1
نفسانی,27
تویی,21
حاضر,425
مستقر,37
منبسط,6
مندرس,6
ایزدی,109
سوری,121
اش,544
عالمی,69
حقّ,10
لشکری,134
سواری,91
مردمی,188
محال,495
محضری,14
خجسته,363
أتی,1
عزیزش,63
مُطَهّر,1
مفتخر,31
صغری,12
سُفلی,1
مستغنی,95
سرفراز,229
عارضی,11
عارض,106
متصل,75
مخلصانه,2
کَهرُبا,1
درخشان,87
خرد,404
قاهر,32
وزین,101
خدایی,105
مؤمن,118
عَلَم,4
پارسا,42
هَدَر,1
ممکن,619
ملکشَه,1
خُردتر,1
پیشرو,61
عاجز,433
مُوشّحَ,1
اللّیالی,2
برخاسته,54
بینوا,145
مَشرَبه,1
دلکشی,6
نر,303
پرگهر,30
شادمان,416
کمی,71
بردار,6
صَدرالوری,1
الضّحی,1
سَهی,1
مشتاق,173
مُوقَد,1
ابجد,49
مطیع,69
مؤکد,5
فریفته,5
مُمَهّد,1
سرمد,41
یدی,1
مؤیّد,1
اسعد,1
سَدیدی,1
رخشنده,23
لشکرگَه,1
مخدومم,2
شیدا,125
بخشنده,53
ناب,533
دروغ,357
چاکر,64
مسلط,14
شیرینش,22
مسلم,245
موکب,13
رنگین,350
افشان,348
نشکفته,1
دستوری,21
گسترده,66
برترین,49
پاکش,123
غالب,135
عفوش,2
کاردان,45
مُمَیّز,1
سخندان,22
مدّ,3
وافر,30
معالی,51
کشیدستی,3
منظوم,32
اعزاز,5
بسیاری,81
زمستانی,12
دانشمند,10
مفخر,8
ارزان,219
دیوانی,12
جزم,23
امین,85
رام,320
عَرین,1
متین,84
قرین,153
مبارز,55
شایستهتر,3
مبین,251
لعین,97
دفین,7
جوانمرد,24
پسین,75
معین,272
مُعین,3
جبین,7
مکین,16
چکیده,48
آخته,60
مساعد,46
جزای,1
نشیمن,33
وگهی,1
دفتری,18
مُصیب,2
مُصاب,1
بدیع,173
وار,179
خرّم,11
مجرّه,1
مَلِکان,1
موید,4
حی,109
مدور,58
مستجاب,81
فرّخ,5
لؤلؤ,4
نوحه,2
تشنه,437
جهنده,23
پیمای,33
مَعجَر,2
نهفته,254
آهنین,213
عِلُوی,1
غُرمْ,1
مَفخرِ,1
ضعیف,289
سودش,2
مُسَبّبُ,1
بهاری,260
منقطع,92
گران,1735
ژرف,154
مآل,6
شاهنشهی,88
مؤثر,22
عاقلتر,3
تفاریقی,1
جانفزا,22
گداخته,24
ناصواب,35
بران,489
بیشتر,448
عارضش,23
نامور,362
برتر,695
غرنده,13
پهن,79
مخطی,1
محکمی,29
دلپسند,13
دلپذیر,103
بویحیی,2
معذّب,1
مُنَقَّط,2
تفسیده,1
آفتابی,148
بدوی,105
سبک,268
نامجوی,11
پایدار,214
خاره,68
پرگوهر,10
همای,58
جوشان,90
رویانی,2
رومی,390
تیزش,11
کمتر,449
زارتر,23
یابس,1
سازی,223
فقیر,236
مهنّا,1
معزا,1
اختصاصی,1
واجب,230
بزرگوار,59
مخالف,143
ابدی,47
شاب,23
دائم,112
دلگشای,13
عُقْده,1
نادرست,43
حَرَم,1
روشنی,170
بنفش,123
تیرگی,1
زیر,899
مرصع,60
ذُلّ,2
مستور,180
شنوا,10
خلاف,54
خصم,5
هُدی,2
اندک,340
هشیار,586
مطهر,33
عجم,199
نشدی,10
پادشهی,9
نحس,37
گرانتر,26
سبکتر,30
شرزه,7
بیچارهتر,15
همنشین,163
همراه,28
نکوتر,139
گیر,31
مظلوم,92
مُمتَحَنَ,1
مَلَک,4
مِجَن,2
محو,472
مِحَنَ,1
گوناگون,87
مُفتَتَنَ,1
مُختَزن,1
پرفِتَنَ,1
پنداری,89
غوّاص,11
شکن,30
پرشکن,9
سپیدش,1
بَرهَمَن,1
مرزغن,1
زغن,2
حاجب,64
دربان,3
زیاده,44
ُالمَثانی,1
جگرسوز,23
تعالی,68
زیباتر,41
مُنْکِر,1
محشرست,4
اختر,4
صرصر,16
فربه,160
فرسای,20
درخور,65
مُصّلی,1
سهیم,1
مسخر,96
مصور,111
سرافکنده,36
جغانه,1
بحری,81
یسر,1
خَلنده,1
کاورا,1
کارساز,48
جهانداری,22
چنبری,44
بارور,64
ملکی,62
بشری,31
روانی,142
غُررست,1
ضعفا,1
مگذر,8
لاعِبَ,1
شگرف,134
شیفته,61
ناظر,139
ثابت,178
ثاقب,6
صادق,214
خائن,14
کش,24
جائر,4
ازین,298
قاصر,65
متقی,9
اعلی,89
شاکر,35
مخبرتر,1
جانفزای,13
هرکجا,2
بادی,350
غَزْوْ,1
مهربان,290
افزای,38
خمار,241
گسار,20
فزای,53
مبارزفکن,1
زدنی,13
احرار,10
جانگزای,4
جائرست,1
مهتری,70
پوشیده,98
سفلی,40
مانیّ,3
بیکار,147
خوبی,416
مِهتری,2
مُوَشَّح,1
مُشَجّرَ,1
مُنَقّش,3
جریده,6
عاشقانه,61
مثانیّ,1
خیر,216
عزّی,4
منطقی,7
جَلّ,1
بسیط,29
لالاست,2
گزیدستی,1
عِزّ,3
گشادهتر,5
علوی,56
سِفلی,2
کلّی,164
عاقل,329
عُقبی,2
آرای,13
شهی,18
درگیر,9
ولیّ,1
نیکوترین,5
آشکار,867
جویبار,2
سزاوار,93
زمینی,68
ابد,10
جاویدان,83
نیلگون,59
بدبخت,92
کج,285
مُرسَل,2
معطل,34
مُجمَلی,1
مُجمَل,1
مُبطَل,1
موقوف,53
مُهمَل,1
مُسَجَّل,1
مُثَقّل,1
مُرَمَّل,1
َحوَلَ,1
افضل,14
منقل,3
شکفته,218
رشک,3
سنگین,186
بادپای,8
آبستن,80
شدید,17
مُستَحسَن,1
کرد,18
مبرم,32
خلوقی,2
مبرهن,30
دوار,73
افکن,33
ترسیده,4
مدون,3
جوان,698
صاعقهٔ,1
خردمند,189
آرام,798
قِران,1
مرغی,121
فراوان,490
معزّالدین,2
غزنین,3
زریّن,1
قُسطَنطین,1
قسطنطین,3
فَروَردین,1
جَگر,1
ُالدّین,1
خزانی,12
دهاقین,1
مِعر,1
صفّین,1
نخستین,409
تیمار,8
سِجّین,1
طین,9
گوهرآگین,2
زوبین,2
مقابل,95
مزیّن,5
موسای,1
آبدار,160
زبانی,149
قضاست,2
خبری,64
ارغوانی,86
پرنیانی,7
آسمانی,221
مشار,6
قلیل,27
توگه,1
چیرهتر,11
سالار,36
طویل,21
شیری,53
خجستهتر,8
سبکسر,10
تودار,1
مشکبار,41
زینهار,53
مَدار,1
کامکار,50
مگوی,39
ذاتی,122
پرشکار,1
عزّوجل,9
هوشیار,128
خاکسار,44
غمگسار,22
مهمتر,6
شناس,133
بردبار,68
مستعار,61
جاندار,3
سیار,67
غدارتر,1
غدار,45
مکارتر,1
مکار,40
شهوار,47
برخوردار,181
درخشنده,23
پیاده,491
اوکی,1
رفتنی,51
اخضر,107
مطلوب,124
برپا,56
درهمی,8
گشاد,535
دولتی,95
نیلوفری,21
باستان,111
سرخی,19
راهزن,10
عزّ,25
زاید,252
مجدد,18
منور,241
مُرَصّع,1
مُجَلّد,1
اَوحد,1
زهره,1
مغرّق,3
مقید,68
روزافزون,33
صافی,79
مکنون,42
مدبر,27
ملعون,22
مرهون,4
معقد,6
مُمَکَّن,1
مشید,3
موبد,16
اجلی,2
ابیض,10
مُجَرّب,1
مجرد,94
معتاد,6
مخلد,21
فرخ,21
مبارک,284
زیاد,86
نامدار,408
تورا,3
فاخر,14
شهنشاه,7
نوبر,1
اوستاد,1
بیدادگر,48
حکیم,99
خواستی,2
توکردی,1
شاهانه,53
مصون,34
بهشتی,22
نغزتر,9
خرسند,250
منتخب,20
مستفاد,11
گردنده,22
اعتقادی,6
مُحرِم,1
دادگر,95
زبر,578
تَر,1
پای,6
سدّی,1
پرخنده,9
اَضحی,2
اَضْحیٰ,1
تابنده,141
آکنده,78
پرّنده,2
وگوینده,1
پوینده,7
کلیم,42
زلال,162
رسمی,55
نامهربان,66
عزوجل,32
منزه,82
منتظر,82
حشمتش,1
شهابی,4
دولتش,1
ساعتی,11
تازی,297
لاد,2
دادبک,1
نوشِروان,1
معزی,7
سردی,16
باریک,179
جسمی,36
محکمتر,9
عالیتر,11
مدر,38
حضر,40
میرا,10
عمّ,4
جدّ,6
پیشین,113
اقلیمی,1
رُمّانی,1
مراکاین,1
حَصین,1
مُعْتَصَم,1
مُسْتَعین,1
راستین,99
الحق,1
عرین,17
پرآفرین,1
فرودین,25
ثَمین,1
مُستَعین,1
عَلی,1
معادی,4
حلال,380
خاص,538
مدامی,5
شهنشاهی,13
وصّاف,2
نغز,247
باطل,344
سری,204
آزاده,125
تحفه,2
الدین,6
بختی,32
محفوظ,60
برگل,4
مانوی,10
رنگینتر,11
زخاص,1
خاتونی,3
عهدی,38
ناکام,180
دُرجی,2
سماوی,9
عقلی,115
یکسر,45
آسودگان,1
دگرگون,181
دگرسان,21
عریان,227
عمّانی,3
رخشان,34
شهری,107
منجوقش,2
احسنت,51
معوق,2
چند,445
خشنود,178
کافیتر,9
فَزَع,1
حقیقی,84
یاوه,68
مُنَیَّر,1
لله,50
اِکرام,1
نگارین,84
خرزین,3
سوزندهتر,7
خورشیدی,85
مُعَنبَر,2
بداندیش,18
زبون,322
مصری,92
محبوس,102
طَلی,2
نپیمایی,1
خشنودم,1
جاودانه,188
محدود,17
معدود,25
نصرانی,2
مفقود,9
مطرود,6
ضَم,1
کوفته,25
عمود,24
معهود,15
جغری,1
عقدی,2
موعود,14
مقبول,56
مردود,47
نمای,107
زهرآلود,9
ماخوذ,6
لالا,17
صفرا,1
اعلامش,1
هندی,208
هَیْجا,1
طُغرا,1
خَضر,3
مِی,1
معزّی,11
نادر,19
رُخش,1
تابدار,2
پرخمار,4
جَیش,1
شکربار,33
خوشبویتر,3
عیار,11
نگونسار,10
توانگر,180
جبار,31
باغی,56
مخذول,2
چوگوی,3
غمّاز,9
کلی,187
کمترین,150
مُقبل,1
قمری,202
خطیب,2
مضمر,50
بارد,3
سخاگستر,5
نکومحضر,1
کاریزی,1
ساتَکینی,1
چابک,80
پهناور,26
لعبتی,5
مِغفَرش,1
ازهم,1
رفیع,19
چنو,4
نهادی,83
بعید,55
مَحَلّ,1
اوگویی,1
مدید,9
نافعتر,1
معطّل,2
جدید,28
بخیل,9
مفید,18
لؤلؤبار,1
بیز,61
صورتی,22
پیداتر,4
مضطرب,62
مجوش,3
متاز,8
جنبان,41
جنگجوی,8
خالص,57
قبضهٔ,2
نمایان,110
سبحان,75
وگاه,1
ای,15
حاکی,18
همزاد,14
دلیر,412
پیلانی,1
منجنیقی,4
اکبر,26
افتان,44
غریوان,2
پرگشته,1
مرمر,16
بشکستی,20
خدمتی,14
بیدا,2
همداستان,81
قادر,104
معظم,76
سهمگین,23
کاو,8
داغ,652
ستوده,31
ممیّز,1
گشادی,43
یگانه,210
مدیح,13
مدام,127
مجاهز,4
مانندهٔ,8
پاکتر,45
وسایط,1
معاشر,7
خاسر,4
مهاجر,3
مجاور,50
مقصر,13
غزلی,4
حسبی,27
نسبی,5
شیعی,16
مددش,1
بصر,38
طلسمی,7
لئیمی,2
بخیلی,10
هنری,58
درفشان,65
خرمتر,14
دشوارتر,20
بیشمار,62
ساید,2
فکنده,27
بهترین,113
قضائی,12
سمر,4
رنجور,242
مُزَوّر,1
سرختر,8
احمر,82
مر,86
مُضمَر,1
برادر,2
گهی,57
تافته,24
لاغر,341
گرامیتر,33
هدی,67
گسسته,57
کوتهتر,8
فرو,80
ستمکار,27
وتیمار,2
بحضر,2
قُرطه,1
برگیری,6
گون,3
مدغم,41
ترکاخی,1
رنگارنگ,28
خواندستی,1
بدمحضر,1
گستر,76
شَکَر,1
درگشاده,1
معالیش,1
مطر,21
سرشتی,13
عبیر,5
شبگیر,83
مَخلَص,1
مقدر,55
گرانمایه,123
مطیر,30
ضریر,31
بصیر,77
دینی,123
حیاتی,79
ضر,49
مَه,2
آتشین,266
تبه,51
ثری,11
شبم,1
سست,581
سپهر,2
مرغزاری,27
مأوی,6
برحذر,19
پرخطر,11
مبارکتر,6
ول,6
بلندش,66
آزمای,31
مُعَسکَر,1
ربای,23
بیافت,1
ملوکی,7
درهم,100
جوشن,12
منصوب,4
پاکیزه,326
مشفق,21
له,4
مقرون,53
خویشی,11
رهنمای,132
ماهروی,10
ناگه,24
راهنمای,5
نافذ,16
فتوح,11
غُرَر,2
بدیعتر,6
بیخش,10
عجب,159
نیکخواه,26
مخلص,50
وانگه,30
نیکوی,11
فلک,1
غَوّاص,1
زآتش,1
مشعبدی,2
زادی,19
ماهرویی,4
غرَر,1
فسونگر,3
مقارن,6
مبتر,12
عقیم,42
مجسم,70
ممدوح,19
قضایی,16
چو,46
خدمتگر,4
کوتاهتر,11
خارا,53
متفق,39
لا,13
مُتّفق,1
مُتّصل,1
نامداری,29
نحوست,1
پاشنده,1
بارنده,2
مصنوع,6
مُحدَث,1
مجبور,59
مُجبَر,1
مُعَطل,1
منکر,13
مصحف,36
مقرر,82
مُعَصفَر,1
روشنتر,69
مَنجوقش,1
پیروزگر,7
خبرگشته,1
کثیر,41
کبیر,82
شرعی,26
صعب,26
خطیر,36
دریایی,52
مصیر,1
ناگزیر,65
خفیر,3
نسختی,2
اعدای,2
جلوگی,3
مبیز,1
درر,3
مشرقی,4
مغربی,20
زای,38
ناخشنود,20
نگشادی,3
مدوٌر,1
پیاپی,116
سای,50
مرده,500
مُحَرّم,1
مَجَر,1
ملکش,13
تلخی,25
مجهز,1
مصمم,10
شمسی,15
مُهر,1
همدوش,15
فروهشه,1
تاری,91
غالیه,21
فربی,6
منعقد,12
فَواکه,1
شجاع,34
غاشیهٔ,3
مُنکَر,1
گرایدی,1
شگفتی,7
درخش,4
خرمی,14
ناخوشی,4
پرمعانی,1
پسر,8
پرشور,21
پرشرر,1
اوفتاده,30
والاتر,15
رُسته,2
سنبل,9
گذشتی,24
هُمای,1
نظامی,34
بیارایی,8
عجایب,2
زنگار,7
کرار,47
قهار,16
مختار,37
فزوده,12
ناهموار,44
بلغار,3
توگردد,1
تیزشده,1
جرار,2
فروزنده,12
خلخ,6
منحوس,21
متواتر,5
دلشاد,148
گاوسار,6
گزار,16
مستقیم,78
حُسامی,1
شعری,21
اندوده,6
نوبهار,3
وفادار,99
بنگری,17
سوده,94
مِغْفَر,2
ناپیدا,119
عادلتر,6
ناسازگار,23
باکین,1
شادکام,13
خاصه,51
حَبَش,1
متضاد,4
زنهار,67
برکنار,73
بیشی,33
فزونتر,77
شکافته,2
مرسوم,24
زارزار,1
مبار,3
سوگوار,63
خمیده,47
کُفّار,1
کلکی,4
پستی,107
برکوهسار,1
مفتا,1
آرزوش,1
واقف,197
شغلی,5
حیف,10
باتدبیر,1
قایم,98
قیمتی,8
گزاف,45
منشعب,2
کُلّی,2
تار,71
مرتفع,17
جامهٔ,24
مکرر,100
خرافاتی,1
آموختی,4
یابی,243
جهاندار,129
پار,13
فروشی,44
موکبی,4
برآری,12
مبادا,46
میخواره,16
راهوار,16
دریاگذار,2
راهواری,1
مهم,31
بفکندی,4
وگل,3
ناشاد,17
دوربین,3
دادت,2
دیرینه,164
نگهدار,3
پیکری,3
تیزتر,48
مروق,11
فسرده,63
نزار,12
سلیحی,3
درنگش,1
فروز,8
مسار,1
مختلف,101
گناهکار,9
کارزاری,6
ترکی,82
بارسی,1
مُزّین,2
مشکبوی,32
نخجیر,2
چندانی,95
مقتبس,12
آصف,2
چابکتر,2
بِپر,1
اسلامی,5
انصافی,1
غمخوار,13
مشغول,98
خواستار,9
مُحاسب,1
مُتصل,1
عِقد,1
مُشار,1
مُستَعار,1
مُسترَق,1
مُمَیِّز,1
مُوَفّق,1
عِلوی,3
لطیفش,7
اختیاری,45
معالج,2
قریر,2
اسیر,20
تمامش,19
مستمند,70
عزیزم,47
دُرّی,2
مشکی,19
نگر,25
فَرخار,1
شسته,7
معترف,28
عالیتْ,1
خواهند_از,3
سایی,15
درازی,76
بریده,218
کشته,18
ملکتی,5
یُسر,1
پیراسته,18
برقی,42
برهانی,3
بیکرانی,4
تنگم,44
خوبش,118
ثار,1
درختی,11
سار,11
معلق,65
قاطع,34
دیدنی,38
مجیرالدوله,1
طبعی,51
ناممکن,27
نیکویی,21
سرین,14
زانبوهی,2
نافع,11
مبنی,6
معذور,243
مهش,5
هموار,202
سوا,18
خواندنی,11
دردمند,141
درافتاده,3
فالی,7
رسیده,40
ناپدید,335
رازدار,25
پراکنی,3
کفایتی,2
سخاش,13
ناقص,105
دوّار,1
جاهلی,43
گرامیش,14
صبحگاهی,47
مشکل,40
فانی,562
تیزکن,1
پسندیدهتر,2
افراشته,26
مانَدْ,1
منستی,18
وببین,1
مشئومتر,1
فرخندهتر,3
سَخی,1
نهانی,299
موکل,3
دُرر,2
مُرسَله,1
مُرَوّق,1
طبیعی,41
کوتاهی,26
بربودی,5
خواهی_بس,1
زهرآگین,3
منثور,29
معمور,75
مشکور,14
مذکور,38
سپهی,6
مزدور,66
ناباخته,1
مسرور,39
رزمگهت,1
مغلوب,25
محزون,65
مَقْمور,1
محرور,4
حمایتی,6
مقصور,13
موفور,7
زیبدکه,1
ناقدی,3
منهزم,11
غربی,8
زرّین,14
عریض,14
ناتمام,60
حقیر,49
مَطیر,3
اثیر,6
تاختنی,1
زمانی,34
آواره,188
کلان,35
درخشانی,3
علیم,21
نادره,13
نیازمند,8
مُقرّ,1
وضیع,21
قدیم,276
ضمایر,3
مریض,18
صحیح,30
مقدور,42
طناز,30
بیاسای,7
سیاهی,132
فراوانش,18
توقیع,1
فلسفی,27
پریش,14
یاقوت,3
سنگدل,98
نیافتمی,2
کردمی,52
بداختر,9
خاکستری,41
خرامان,172
مُسْتَخِف,1
مُسْتَخَف,1
حرامتر,2
احسن,37
مؤتلف,2
معتدل,45
موفق,22
ابله,128
احمق,47
مُزوّر,1
زیبق,9
براق,18
جویم,1
محامدالاثار,1
خَلق,1
خلاق,26
خاضع,14
بلندی,95
مَعین,4
خطی,45
یُمن,1
اندرون,2
بدایع,2
سنگینش,6
شَمن,1
گنگ,105
کوچک,40
علاء,3
بشکنی,20
زرنگ,21
پرنیرنگ,1
دلارامی,6
زوری,4
چشمی,141
ترک,126
بغدادی,3
محترمی,4
معاصی,4
لال,153
مالامال,79
آیینی,4
لایزال,44
قویتر,30
زربفت,28
رامشگر,3
چینی,383
عَمّ,2
گستاخ,187
هربر,1
دال,16
سحرگاهی,3
خردپرور,1
تیزی,13
تند,309
محتال,2
تصویریّ,1
خرطوم,1
سلاله,1
سرمدی,14
کلیمی,16
گویا,126
نعلین,4
دوزخی,20
لطیفی,18
معیل,8
پرآتش,16
افزونی,6
مخدوم,10
بدری,4
مصفا,70
طغراکشی,1
مادرزاد,24
ملول,132
غزاله,1
تعطیل,11
جزیل,12
خفیف,24
ثقیل,17
علیل,18
شگفته,2
کساد,19
اصلیش,5
مهمل,20
مبهم,44
شددین,1
مقدس,41
صفتی,13
مصوّر,11
مُجَسّم,1
مشموم,1
مکرم,44
َطل,1
پرحلقه,1
دمادم,170
اعمی,23
معمم,2
منظم,20
منعّم,2
محجوب,35
معیوب,30
اَکمَهُ,1
صوابش,1
امیرا,3
موخر,6
مُلکی,1
همم,8
اعظم,216
روانه,41
پارسی,94
آبداده,3
اَسَفْ,1
فصیح,43
اجم,6
دِژم,2
صدری,4
فرمایی,7
دیم,7
بزرگواری,7
خدایگانی,2
همام,50
عظام,28
موشح,5
دودست,9
دامی,92
امم,5
تازیانهٔ,1
ناحق,39
قریب,20
دنیی,55
پران,78
گنده,83
ممدوحی,3
توسوی,1
جستی,69
رُمْح,1
بخستی,4
معدوم,70
مَدروس,1
اوگشتی,1
بردی,20
مُعَزّا,1
دلفریب,42
بلنداختر,4
افزونتر,50
کاملی,50
جان,19
زخواهنده,1
مهرجوی,3
عنبرین,37
