Adj 1,Frequency
باز,6256
مهجور,174
جدا,1479
طرفه,63
بدنام,81
غنی,110
خوش,6730
غصهٔ,3
راست,2922
توام,981
بد,4828
نیکو,963
ساکن,232
خونخوار,85
دری,304
خالی,1198
بدخواه,277
خراب,1131
نمی,1570
میخواهی,9
مبرا,40
غیوب,3
سخت,1003
رنجه,242
گم,2367
گریان,465
کافر,555
مسلمان,234
پریشان,691
خرامنده,8
رعنایی,22
ترش,209
دوستداری,12
گذاری,21
درست,714
یکسو,86
اجل,368
بیخور,5
بالاتر,65
بیحاصلی,15
کمری,19
فارغ,1002
سوزنده,116
پدید,2048
خودبین,64
تر,3320
رسوا,340
رگم,1
شیرم,6
تمامتر,7
زجهانی,1
باری,199
بیش,3423
الوان,79
زبردست,7
نیلی,107
بیچاره,427
رحمی,108
جهانی,807
سیماش,1
استوار,336
برقرار,69
عیان,1493
زار,1336
کوته,497
مسکین,581
کور,654
کم,3968
سرخ,792
دمساز,161
همدم,129
همراز,51
زرین,578
تلخ,673
شیرین,1284
غره,161
پر,6685
تهی,1201
تک,263
غافل,1325
فاضلتر,10
مست,2962
سیه,1608
بسته,312
خسته,1134
شکسته,286
درمانی,64
های,279
بهزار,1
نادیده,225
آغشته,78
امن,310
راحت,564
دستی,192
ملایکم,1
مغرور,218
پنهانش,35
زنده,2717
عارم,2
دشوار,387
آسان,966
بسیار,419
بتر,501
عاری,109
سنگی,133
جنگی,215
ننگی,12
رنگی,234
پنهانی,167
خلوت,118
نرم,449
درشت,218
فرسوده,123
نابوده,38
بیهوده,370
جوی,1006
گرانبها,8
سفت,119
رایگان,266
عزیز,714
غلط,401
عرقی,9
پراکنده,137
تیزبین,12
نازک,245
نزدیک,482
منقلب,20
ناصبوری,5
بیزار,337
زنار,15
میسر,277
خرم,982
جاودانی,240
زرد,996
کند,136
گلگون,225
مرکب,185
روشن,3158
پنهان,2193
پیدا,3349
برجا,3
بینا,384
مختصر,264
خم,998
تیره,1769
نهان,2532
رها,935
آگاه,1353
کوتاه,485
آبی,430
شوریده,273
برهنه,280
ناچار,342
پاک,2843
فراموشم,64
نومید,211
جاوید,412
نامرد,41
خام,686
ناپخته,19
شریف,163
ناگفته,57
اعلا,49
سهی,66
موزون,156
قومی,88
دور,2655
بیخود,80
خیزان,120
ریزان,35
گریزان,231
برنده,21
تیز,1007
نکو,178
راضی,227
آگه,524
بس,3595
گردانی,34
خراباتی,28
کامل,280
نیک,1906
شاد,2157
سهل,365
زود,858
آوریدی,6
محض,87
خوشش,56
ازلی,84
یکرنگی,1
نادان,408
افسرده,302
پژمرده,134
زیبا,733
کبود,259
خرابش,12
عاشق,700
پلید,121
خاموش,566
مدهوش,50
فراموش,386
حرق,1
غرق,175
بیگاه,115
آلوده,391
آسوده,579
سرنگون,332
زایل,99
ویران,726
افزون,687
منکم,5
سفید,271
خانگی,53
تنگ,1821
خشمگین,40
قوی,576
کبابم,1
گرامی,299
جاودان,783
خوشتر,893
منگر,116
لایق,205
مشهور,254
گرم,1314
یکسان,315
کر,156
خیره,806
پیر,825
جلالت,43
پذیر,39
شوخ,215
سرگشته,299
بزی,31
مجاز,178
دراز,1466
محروم,291
خونریز,67
مهرانگیز,2
غمین,86
شرمنده,92
اکرم,8
چندان,74
مترس,27
دستگیر,143
عذرپذیر,1
منفی,2
ترکش,1
سرکش,250
دلجو,1
نیکوگو,1
مستش,79
بدستی,3
دایم,381
لطیف,237
دویی,8
قانع,219
تابان,477
مطلق,463
مستهلک,5
مستغرق,44
غمناک,114
شوم,313
هلاک,360
بیدیک,1
صالح,57
پیروز,374
لنگ,226
متعال,32
چارده,16
جل,57
رسی,396
